roi,Yeo_ID,Degree,Harvard-Oxford
58,7,58,Right_Precuneous_Cortex
59,4,117,Right_Insular_Cortex
60,2,114,Right_Postcentral_Gyrus
61,7,97,Left_Middle_Frontal_Gyrus
62,1,158,Right_Temporal_Fusiform_Cortex__posterior_division
63,3,113,Left_Inferior_Temporal_Gyrus__temporooccipital_part
64,3,144,Right_Superior_Frontal_Gyrus
65,2,115,Right_Postcentral_Gyrus
66,2,80,Right_Superior_Temporal_Gyrus__posterior_division
67,4,16,Left_Putamen
68,0,139,None
69,4,70,Right_Middle_Temporal_Gyrus__temporooccipital_part
70,1,82,Left_Intracalcarine_Cortex
71,7,89,Right_Frontal_Orbital_Cortex
72,7,155,Left_Middle_Temporal_Gyrus__posterior_division
73,3,81,Left_Precentral_Gyrus
74,7,99,Left_Frontal_Orbital_Cortex
75,6,153,Right_Frontal_Pole
76,4,136,Left_Cingulate_Gyrus__posterior_division
77,1,74,None
78,5,129,Left_Temporal_Pole
79,4,137,Right_Cingulate_Gyrus__anterior_division
80,0,114,None
81,1,70,Right_Cuneal_Cortex
82,7,121,Left_Lateral_Occipital_Cortex__superior_division
83,4,78,Right_Temporal_Pole
84,0,128,Left_Caudate
85,1,22,Right_Lateral_Occipital_Cortex__superior_division
86,0,54,None
87,5,59,Right_Temporal_Fusiform_Cortex__posterior_division
88,2,90,Left_Postcentral_Gyrus
89,1,124,Right_Lingual_Gyrus
90,2,91,Left_Precentral_Gyrus
91,7,33,Right_Superior_Frontal_Gyrus
92,5,88,Left_Amygdala
93,3,100,Right_Superior_Parietal_Lobule
94,0,118,Right_Caudate
95,6,125,Left_Superior_Frontal_Gyrus
96,2,101,Left_Postcentral_Gyrus
97,1,74,Left_Lateral_Occipital_Cortex__superior_division
98,2,111,Right_Precentral_Gyrus
99,6,140,Left_Middle_Temporal_Gyrus__temporooccipital_part
100,3,69,Right_Inferior_Temporal_Gyrus__temporooccipital_part
101,7,60,Left_Middle_Temporal_Gyrus__anterior_division
102,1,115,Right_Lateral_Occipital_Cortex__inferior_division
103,1,98,None
104,7,81,Left_Frontal_Pole
105,1,133,Right_Lingual_Gyrus
106,7,130,Right_Frontal_Pole
107,7,97,Right_Superior_Temporal_Gyrus__posterior_division
108,1,95,Left_Occipital_Pole
109,7,56,Right_Frontal_Pole
110,5,131,Right_Temporal_Pole
111,2,66,Right_Precentral_Gyrus
112,5,69,Left_Frontal_Orbital_Cortex
113,6,115,Right_Frontal_Pole
114,3,154,Left_Lateral_Occipital_Cortex__superior_division
115,6,71,Right_Precentral_Gyrus
116,3,123,Left_Supramarginal_Gyrus__anterior_division
117,7,164,Left_Middle_Temporal_Gyrus__temporooccipital_part
118,1,122,None
119,4,136,Right_Central_Opercular_Cortex
120,1,50,None
121,2,70,Left_Central_Opercular_Cortex
122,1,126,Left_Temporal_Fusiform_Cortex__posterior_division
123,2,60,Right_Precentral_Gyrus
124,6,123,Right_Frontal_Pole
125,4,136,Left_Frontal_Pole
126,1,113,None
127,6,94,Right_Middle_Frontal_Gyrus
128,4,83,Right_Supramarginal_Gyrus__posterior_division
129,7,10,Left_Temporal_Pole
130,0,66,None
131,1,96,Left_Occipital_Pole
132,3,99,Right_Lateral_Occipital_Cortex__superior_division
133,7,108,Left_Frontal_Pole
134,2,45,Right_Precentral_Gyrus
135,0,105,Right_Caudate
136,3,81,Left_Lateral_Occipital_Cortex__superior_division
137,4,108,Right_Insular_Cortex
138,1,98,Right_Occipital_Fusiform_Gyrus
139,7,78,Right_Frontal_Pole
140,7,78,Right_Middle_Temporal_Gyrus__anterior_division
141,7,82,Left_Inferior_Frontal_Gyrus__pars_triangularis
142,1,142,Right_Occipital_Pole
143,3,99,Right_Lateral_Occipital_Cortex__inferior_division
144,7,69,Right_Inferior_Frontal_Gyrus__pars_triangularis
145,5,127,Left_Hippocampus
146,2,112,Left_Central_Opercular_Cortex
147,1,37,Left_Precuneous_Cortex
148,0,103,Right_Thalamus
149,6,140,Right_Superior_Frontal_Gyrus
150,1,100,Left_Lateral_Occipital_Cortex__inferior_division
151,6,147,Left_Middle_Frontal_Gyrus
152,1,126,None
153,7,67,Right_Superior_Temporal_Gyrus__anterior_division
154,2,43,Left_Postcentral_Gyrus
155,5,92,Right_Hippocampus
156,3,89,Left_Superior_Parietal_Lobule
157,2,132,Right_Postcentral_Gyrus
158,1,143,Left_Occipital_Pole
159,1,52,Left_Occipital_Fusiform_Gyrus
160,5,132,Right_Subcallosal_Cortex
161,4,77,Right_Juxtapositional_Lobule_Cortex_formerly_Supplementary_Motor_Cortex
162,1,116,None
163,3,115,Right_Precuneous_Cortex
164,6,78,Right_Inferior_Frontal_Gyrus__pars_opercularis
165,4,81,Left_Precentral_Gyrus
166,7,126,Right_Lateral_Occipital_Cortex__superior_division
167,7,128,Left_Frontal_Pole
168,4,69,Right_Frontal_Pole
169,6,82,Left_Frontal_Pole
170,1,77,Right_Lateral_Occipital_Cortex__superior_division
171,3,87,Left_Postcentral_Gyrus
172,1,108,Right_Temporal_Occipital_Fusiform_Cortex
173,7,83,Left_Superior_Frontal_Gyrus
174,7,134,Right_Precuneous_Cortex
175,1,93,Right_Occipital_Fusiform_Gyrus
176,0,107,None
177,1,85,Left_Lingual_Gyrus
178,0,93,Right_Putamen
179,1,82,Left_Lingual_Gyrus
180,4,77,Right_Supramarginal_Gyrus__anterior_division
181,7,135,Right_Temporal_Pole
182,4,97,Left_Superior_Frontal_Gyrus
183,6,109,Left_Frontal_Pole
184,4,81,Left_Central_Opercular_Cortex
185,2,113,Right_Parietal_Operculum_Cortex
186,7,108,Right_Frontal_Pole
187,7,107,Right_Superior_Frontal_Gyrus
188,3,49,Left_Superior_Parietal_Lobule
189,1,123,Left_Temporal_Occipital_Fusiform_Cortex
190,1,157,None
191,7,104,Left_Superior_Frontal_Gyrus
192,1,26,None
193,7,145,Right_Frontal_Pole
194,0,142,None
195,1,127,Right_Lingual_Gyrus
196,7,60,Left_Temporal_Pole
197,3,35,Left_Precuneous_Cortex
